ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
New Season,Gucci Eyewear,tiger-print cat-eye frame sunglasses,$783,One Size,https://cdn-images.farfetch-contents.com/17/34/78/08/17347808_38366116_480.jpg,-0%,$783
New Season,Totême,striped logo scarf,$210,One Size,https://cdn-images.farfetch-contents.com/17/39/27/67/17392767_37435382_480.jpg,-0%,$210
New Season,MaryJane Claverol,sequin ski beanie hat,$354,One Size,https://cdn-images.farfetch-contents.com/17/17/53/40/17175340_37838858_480.jpg,-0%,$354
New Season,Bottega Veneta,Intrecciato-pattern bucket hat,$600,S,https://cdn-images.farfetch-contents.com/17/66/11/99/17661199_37837734_480.jpg,-0%,$600
,Bottega Veneta,double-strap leather belt,"$1,000","S, M, L",https://cdn-images.farfetch-contents.com/16/21/96/28/16219628_33945601_480.jpg,-0%,"$1,000"
New Season,ETRO,graphic-print frayed scarf,$570,One Size,https://cdn-images.farfetch-contents.com/17/10/75/30/17107530_37767132_480.jpg,-0%,$570
New Season,JW Anderson,strawberry-print cardholder,$255,One Size,https://cdn-images.farfetch-contents.com/17/08/54/39/17085439_37611693_480.jpg,-0%,$255
New Season,GANNI,floral-print silk scarf,$75,One Size,https://cdn-images.farfetch-contents.com/17/42/47/29/17424729_37157949_480.jpg,-0%,$75
New Season,Jimmy Choo Eyewear,Sonja studded cat-eye sunglasses,$488,One Size,https://cdn-images.farfetch-contents.com/17/94/06/64/17940664_38189736_480.jpg,-0%,$488
New Season,JW Anderson,asymmetric logo-patch bucket hat,$210,"M, L",https://cdn-images.farfetch-contents.com/17/08/44/35/17084435_37613453_480.jpg,-0%,$210
New Season,Agnelle,knitted panel quilted gloves,$169,"XXS, XS, S",https://cdn-images.farfetch-contents.com/17/50/21/27/17502127_37845090_480.jpg,-0%,$169
New Season,Marine Serre,x Vuarnet Swirl oval-frame sunglasses,$415,One Size,https://cdn-images.farfetch-contents.com/17/21/47/36/17214736_38369389_480.jpg,-0%,$415
New Season,STAND STUDIO,Cia faux leather cap,$89,One Size,https://cdn-images.farfetch-contents.com/17/00/66/29/17006629_37822055_480.jpg,-0%,$89
New Season,Jimmy Choo Eyewear,Auri square-frame sunglasses,$352,One Size,https://cdn-images.farfetch-contents.com/17/94/06/52/17940652_38190166_480.jpg,-0%,$352
New Season,Nanushka,buckled wide belt,$205,One Size,https://cdn-images.farfetch-contents.com/17/18/90/89/17189089_37432298_480.jpg,-0%,$205
New Season,Agnelle,chain-embellished suede gloves,$169,"XXS, XS, S",https://cdn-images.farfetch-contents.com/17/50/21/29/17502129_37838610_480.jpg,-0%,$169
New Season,Emilio Pucci,Bandierine print straw hat,$430,"S, M",https://cdn-images.farfetch-contents.com/17/53/42/26/17534226_37866680_480.jpg,-0%,$430
,Gucci,GG Supreme baseball cap,$415,XS,https://cdn-images.farfetch-contents.com/17/39/18/29/17391829_37516688_480.jpg,-0%,$415
New Season,Totême,monogram-print silk scarf,$260,One Size,https://cdn-images.farfetch-contents.com/17/39/18/25/17391825_37994556_480.jpg,-0%,$260
New Season,Balenciaga,mini Shopping keyring,$395,One Size,https://cdn-images.farfetch-contents.com/17/33/70/95/17337095_37690460_480.jpg,-0%,$395
,Slip,Queen pillow case and mask set,$176,One Size,https://cdn-images.farfetch-contents.com/17/61/85/86/17618586_37546712_480.jpg,-0%,$176
New Season,Versace,logo-plaque belt,$375,"XS, S, M",https://cdn-images.farfetch-contents.com/17/88/58/16/17885816_37660912_480.jpg,-0%,$375
New Season,Totême,large monogram scarf,$405,One Size,https://cdn-images.farfetch-contents.com/17/39/18/27/17391827_37207717_480.jpg,-0%,$405
New Season,Off-White,logo embroidered ribbed beanie,$280,One Size,https://cdn-images.farfetch-contents.com/17/59/05/12/17590512_37677693_480.jpg,-0%,$280
New Season,Versace,Medusa-motif leather wallet ,$775,One Size,https://cdn-images.farfetch-contents.com/17/33/37/63/17333763_37678607_480.jpg,-0%,$775
New Season,Versace,logo-embroidered knitted beanie,$495,One Size,https://cdn-images.farfetch-contents.com/17/50/06/38/17500638_37772109_480.jpg,-0%,$495
New Season,Versace,intarsia-logo wool scarf,$675,One Size,https://cdn-images.farfetch-contents.com/17/50/21/30/17502130_37604200_480.jpg,-0%,$675
New Season,Jimmy Choo Eyewear,Sonja studded cat-eye sunglasses,$488,One Size,https://cdn-images.farfetch-contents.com/17/93/95/36/17939536_38189706_480.jpg,-0%,$488
New Season,Versace,monogram bucket hat ,$475,"M, L, XL",https://cdn-images.farfetch-contents.com/17/33/69/93/17336993_37401086_480.jpg,-0%,$475
New Season,Off-White,Diag-stripe phone bag,$705,One Size,https://cdn-images.farfetch-contents.com/16/97/49/85/16974985_37028148_480.jpg,-0%,$705
New Season,Palm Angels,palm-buckle belt,$495,"S, M",https://cdn-images.farfetch-contents.com/17/57/32/65/17573265_37657842_480.jpg,-0%,$495
New Season,Alexander McQueen,Graffiti-logo silk scarf,$260,One Size,https://cdn-images.farfetch-contents.com/17/50/23/98/17502398_37891670_480.jpg,-0%,$260
,Chloé,Alphabet leather wallet,$310,One Size,https://cdn-images.farfetch-contents.com/14/47/38/32/14473832_36034919_480.jpg,-0%,$310
New Season,Balenciaga Eyewear,cat-eye frame sunglasses,$400,One Size,https://cdn-images.farfetch-contents.com/17/34/76/51/17347651_38367040_480.jpg,-0%,$400
New Season,Isabel Marant,Lecce 3cm studded leather belt,$230,"S, M, L, XL",https://cdn-images.farfetch-contents.com/17/39/27/54/17392754_37387412_480.jpg,-0%,$230
New Season,Versace,Barocco-print baseball cap ,$525,"M, L, XL",https://cdn-images.farfetch-contents.com/17/69/41/95/17694195_37038551_480.jpg,-0%,$525
New Season,Off-White,Jitney logo-plaque leather wallet,$600,One Size,https://cdn-images.farfetch-contents.com/17/59/05/40/17590540_37676722_480.jpg,-0%,$600
