ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
New Season,Gucci,Horsebit 1955 shoulder bag,"$3,100",One Size,https://cdn-images.farfetch-contents.com/17/64/15/46/17641546_37088636_480.jpg,-0%,"$3,100"
,Bottega Veneta,Cassette padded shoulder bag,"$4,500",One Size,https://cdn-images.farfetch-contents.com/15/38/38/30/15383830_28498269_480.jpg,-0%,"$4,500"
New Season,Balenciaga,small Downtown shoulder bag,"$2,290",One Size,https://cdn-images.farfetch-contents.com/17/73/15/37/17731537_37892828_480.jpg,-0%,"$2,290"
New Season,Chloé,Woody tote bag,"$1,050",One Size,https://cdn-images.farfetch-contents.com/17/64/82/75/17648275_37847253_480.jpg,-0%,"$1,050"
New Season,Saint Laurent,Rive Gauche tote shopping bag,"$1,490",One Size,https://cdn-images.farfetch-contents.com/17/55/56/97/17555697_37757766_480.jpg,-0%,"$1,490"
New Season,Valentino Garavani,Stud Sign shoulder bag,"$4,590",One Size,https://cdn-images.farfetch-contents.com/17/75/63/69/17756369_37404442_480.jpg,-0%,"$4,590"
New Season,Versace,La Greca Medusa Music tote bag,"$1,125",One Size,https://cdn-images.farfetch-contents.com/17/50/14/41/17501441_38225120_480.jpg,-0%,"$1,125"
Positively Conscious,Prada,Re-Edition 2000 sequined Re-Nylon bag,"$1,950",One Size,https://cdn-images.farfetch-contents.com/17/82/88/14/17828814_37499721_480.jpg,-0%,"$1,950"
,Off-White,Burrow Shoulder 22 shoulder bag,"$1,425",One Size,https://cdn-images.farfetch-contents.com/16/90/22/67/16902267_37948985_480.jpg,-0%,"$1,425"
New Season,Jacquemus,Le Chiquito leather mini bag,$550,One Size,https://cdn-images.farfetch-contents.com/17/54/91/08/17549108_37672960_480.jpg,-0%,$550
New Season,JW Anderson,x Pol Anglada Belt tote bag,$530,One Size,https://cdn-images.farfetch-contents.com/17/40/90/75/17409075_36301690_480.jpg,-0%,$530
,Valentino Garavani,Roman Stud knitted tote bag,"$3,250",One Size,https://cdn-images.farfetch-contents.com/17/53/04/15/17530415_37974307_480.jpg,-0%,"$3,250"
New Season,Versace,La Medusa leather mini bag,"$1,350",One Size,https://cdn-images.farfetch-contents.com/17/32/18/07/17321807_37727337_480.jpg,-0%,"$1,350"
