ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
New Season,Gucci,Interlocking G heart ring,$320,"S, M, L, XL",https://cdn-images.farfetch-contents.com/16/30/74/59/16307459_31212178_480.jpg,-0%,$320
,Swarovski,Harmonia cushion cut crystal choker,$480,One Size,https://cdn-images.farfetch-contents.com/17/20/50/81/17205081_35213957_480.jpg,-0%,$480
,Saint Laurent,triple-link drop earrings,$395,One Size,https://cdn-images.farfetch-contents.com/16/94/98/61/16949861_36355155_480.jpg,-0%,$395
New Season,Valentino Garavani,Roman stud bracelet,$470,One Size,https://cdn-images.farfetch-contents.com/17/90/46/45/17904645_37832744_480.jpg,-0%,$470
New Season,Swarovski,Una crystal-heart stud earrings,$185,One Size,https://cdn-images.farfetch-contents.com/17/70/12/14/17701214_37522295_480.jpg,-0%,$185
New Season,Sunnei,small rubberized hoops,$279,One Size,https://cdn-images.farfetch-contents.com/17/90/23/43/17902343_37817219_480.jpg,-0%,$279
New Season,Paco Rabanne,double-chain necklace ,$470,One Size,https://cdn-images.farfetch-contents.com/17/80/47/77/17804777_37438056_480.jpg,-0%,$470
New Season,Paco Rabanne,metallic-effect drop earrings,$388,One Size,https://cdn-images.farfetch-contents.com/17/81/92/64/17819264_37472151_480.jpg,-0%,$388
New Season,Versace,Medusa charm rope bracelet,$225,"S, M, L, XL",https://cdn-images.farfetch-contents.com/17/86/28/99/17862899_37598983_480.jpg,-0%,$225
New Season,Laura Lombardi,Cinzia 8-inch chain bracelet,$175,One Size,https://cdn-images.farfetch-contents.com/17/17/33/29/17173329_37222134_480.jpg,-0%,$175
New Season,Off-White,Arrows logo earrings,$315,One Size,https://cdn-images.farfetch-contents.com/17/59/06/03/17590603_37771600_480.jpg,-0%,$315
New Season,Bottega Veneta,triangle sterling silver earrings,$850,One Size,https://cdn-images.farfetch-contents.com/17/56/73/08/17567308_37613811_480.jpg,-0%,$850
,Saint Laurent,Loulou chain tassel earrings,$395,One Size,https://cdn-images.farfetch-contents.com/13/45/55/68/13455568_15727667_480.jpg,-0%,$395
,Loren Stewart,LOREN SILV OVAL WHT TOPAZ SGNT RNG,$295,M,https://cdn-images.farfetch-contents.com/16/94/49/16/16944916_36964855_480.jpg,-0%,$295
New Season,Eshvi,crystal-heart drop earrings,$210,One Size,https://cdn-images.farfetch-contents.com/16/97/66/91/16976691_37459157_480.jpg,-0%,$210
New Season,Bottega Veneta,Chains sterling-silver necklace ,"$2,150",One Size,https://cdn-images.farfetch-contents.com/17/56/58/39/17565839_37594581_480.jpg,-0%,"$2,150"
,Saint Laurent,silver metallic shooting star tassel drop earrings,$650,One Size,https://cdn-images.farfetch-contents.com/13/45/55/54/13455554_16541287_480.jpg,-0%,$650
,Saint Laurent,curb chain necklace,$850,"M, L",https://cdn-images.farfetch-contents.com/14/46/30/23/14463023_21316878_480.jpg,-0%,$850
New Season,Swarovski,Dulcis cord bracelet ,$125,One Size,https://cdn-images.farfetch-contents.com/17/70/05/90/17700590_37421012_480.jpg,-0%,$125
,Swarovski,Millenia crystal bracelet,$480,One Size,https://cdn-images.farfetch-contents.com/17/20/51/44/17205144_35326241_480.jpg,-0%,$480
,Lauren Rubinski,LRUB SILVER RNBW ENML DONUTS HAPPY NKLC,"$4,130",One Size,https://cdn-images.farfetch-contents.com/17/24/59/04/17245904_36765713_480.jpg,-0%,"$4,130"
,Swarovski,Chroma hoop earrings,$300,One Size,https://cdn-images.farfetch-contents.com/17/21/80/12/17218012_37158738_480.jpg,-0%,$300
