ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
,Cartier,pre-owned Pasha C 35mm,"$2,573",One Size,https://cdn-images.farfetch-contents.com/17/93/43/82/17934382_37808025_480.jpg,-0%,"$2,573"
,Christian Dior,pre-owned Lady Dior bag,"$2,417",One Size,https://cdn-images.farfetch-contents.com/17/71/05/83/17710583_37831500_480.jpg,-0%,"$2,417"
,Chanel Pre-Owned,2002 Choco Bar No.5 CC chain shoulder bag,"$3,090",One Size,https://cdn-images.farfetch-contents.com/17/80/88/63/17808863_38497983_480.jpg,-0%,"$3,090"
,Chanel Pre-Owned,1998 straw basket shoulder bag,"$12,118",One Size,https://cdn-images.farfetch-contents.com/17/83/56/06/17835606_38498594_480.jpg,-0%,"$12,118"
,Pragnell Vintage,pre-owned platinum Art Deco ruby and diamond ring,"$18,733",XXS,https://cdn-images.farfetch-contents.com/17/66/94/73/17669473_37066801_480.jpg,-0%,"$18,733"
,Rolex,1957 pre-owned Air-King 34mm,"$7,848",One Size,https://cdn-images.farfetch-contents.com/17/72/56/57/17725657_37174980_480.jpg,-0%,"$7,848"
,Chanel Pre-Owned,2000s CC 2way vanity bag,"$7,824",One Size,https://cdn-images.farfetch-contents.com/17/71/37/90/17713790_37436657_480.jpg,-0%,"$7,824"
,Hermès,2000 pre-owned Kelly Retourne 25 tote bag,"$18,754",One Size,https://cdn-images.farfetch-contents.com/17/75/17/91/17751791_37391463_480.jpg,-0%,"$18,754"
,Chanel Pre-Owned,1995 CC diamond-quilted round vanity bag,"$40,243",One Size,https://cdn-images.farfetch-contents.com/17/67/67/18/17676718_37310657_480.jpg,-0%,"$40,243"
,Christian Dior,2000s pre-owned Saddle denim bag,"$3,064",One Size,https://cdn-images.farfetch-contents.com/17/73/41/55/17734155_37358700_480.jpg,-0%,"$3,064"
,Cartier,white gold Love ring,"$1,418",XS,https://cdn-images.farfetch-contents.com/17/68/05/46/17680546_37993962_480.jpg,-0%,"$1,418"
,Louis Vuitton,2008 pre-owned Damier Ebène Keepall Bandoulière 55 travel bag,"$2,742",One Size,https://cdn-images.farfetch-contents.com/17/61/91/83/17619183_36810317_480.jpg,-0%,"$2,742"
,Louis Vuitton,2006 pre-owned Papillon 30 barrel bag,"$1,772",One Size,https://cdn-images.farfetch-contents.com/17/65/63/14/17656314_37398112_480.jpg,-0%,"$1,772"
,Hermès,pre-owned Kelly 28 2way bag,"$14,242",One Size,https://cdn-images.farfetch-contents.com/17/65/54/17/17655417_37364169_480.jpg,-0%,"$14,242"
,Chanel Pre-Owned,1990s chain-link charm bracelet,"$2,353",One Size,https://cdn-images.farfetch-contents.com/17/75/09/57/17750957_37399315_480.jpg,-0%,"$2,353"
,Louis Vuitton,x Jeff Koons pre-owned Masters Collection Montaigne MM 2way bag,"$7,322",One Size,https://cdn-images.farfetch-contents.com/17/61/92/37/17619237_37362737_480.jpg,-0%,"$7,322"
,Louis Vuitton,x Stephen Sprouse 2009 pre-owned Keepall 50 holdall bag,"$8,131",One Size,https://cdn-images.farfetch-contents.com/17/73/41/61/17734161_37310729_480.jpg,-0%,"$8,131"
,Louis Vuitton,2006 pre-owned mini Looping top-handle bag,"$2,840",One Size,https://cdn-images.farfetch-contents.com/17/73/69/52/17736952_37359139_480.jpg,-0%,"$2,840"
,Chanel Pre-Owned,2015 limited edition Premiere Watch Minaudiere clutch,"$16,499",One Size,https://cdn-images.farfetch-contents.com/17/16/59/64/17165964_35657851_480.jpg,-0%,"$16,499"
,Louis Vuitton,2009 pre-owned Tivoli GM tote bag,"$2,834",One Size,https://cdn-images.farfetch-contents.com/17/60/90/26/17609026_36792049_480.jpg,-0%,"$2,834"
,Rolex,2002 pre-owned Oyster Perpetual 31mm,"$7,754",One Size,https://cdn-images.farfetch-contents.com/17/72/61/38/17726138_37245588_480.jpg,-0%,"$7,754"
,Christian Dior,2010 pre-owned medium Lady Dior 2way bag,"$5,162",One Size,https://cdn-images.farfetch-contents.com/17/73/66/76/17736676_37266601_480.jpg,-0%,"$5,162"
,Christian Dior,pre-owned Trotter shoulder bag,"$1,723",One Size,https://cdn-images.farfetch-contents.com/17/61/17/87/17611787_36991520_480.jpg,-0%,"$1,723"
