,ffcollection,Brand,Short_descr,Price,avSizes,img
0,New Season,Saint Laurent,Opyum 100mm YSL heel sandals,"$1,095",See all sizes,https://cdn-images.farfetch-contents.com/17/55/50/24/17555024_37736459_480.jpg
1,Runway,Saint Laurent,Koller 110 boots,"$2,990",See all sizes,https://cdn-images.farfetch-contents.com/17/55/47/05/17554705_38267034_480.jpg
2,New Season,Palm Angels,sculpted-heel open-toe sandals,$710,See all sizes,https://cdn-images.farfetch-contents.com/17/57/14/46/17571446_38178896_480.jpg
3,New Season,Burberry,metallic slingback pumps ,$790,See all sizes,https://cdn-images.farfetch-contents.com/17/55/94/72/17559472_36757624_480.jpg
4,New Season,Prada,triangle logo studded clogs,"$1,070",See all sizes,https://cdn-images.farfetch-contents.com/17/80/25/51/17802551_37391301_480.jpg
5,,Gucci,Horsebit mid-heel slingback pumps,$880,See all sizes,https://cdn-images.farfetch-contents.com/17/81/91/32/17819132_37458453_480.jpg
6,New Season,Prada,studded logo clogs,"$1,124",See all sizes,https://cdn-images.farfetch-contents.com/17/86/68/28/17866828_38282121_480.jpg
7,New Season,Balenciaga,Trooper rubber boots,$695,See all sizes,https://cdn-images.farfetch-contents.com/17/33/66/86/17336686_37984284_480.jpg
8,New Season,Stella McCartney,Falabella kitten mules,$748,See all sizes,https://cdn-images.farfetch-contents.com/18/02/07/12/18020712_38227640_480.jpg
9,New Season,Prada,metallic-finish slingback pumps,"$1,100",See all sizes,https://cdn-images.farfetch-contents.com/17/50/61/65/17506165_36297972_480.jpg
10,New Season,Jimmy Choo,x Mugler mesh-stripe mid-calf boots,"$1,425",See all sizes,https://cdn-images.farfetch-contents.com/17/93/97/10/17939710_37846931_480.jpg
11,New Season,Valentino Garavani,Roman Stud flatform sandals,"$1,100",See all sizes,https://cdn-images.farfetch-contents.com/18/01/48/50/18014850_38221050_480.jpg
12,,Off-White,For Walking sneakers,$570,See all sizes,https://cdn-images.farfetch-contents.com/16/86/85/45/16868545_35258730_480.jpg
13,New Season,Bottega Veneta,140mm snake-print pumps,"$1,450",See all sizes,https://cdn-images.farfetch-contents.com/18/08/42/03/18084203_38319155_480.jpg
14,,Gucci,Isla flat sandals,$590,See all sizes,https://cdn-images.farfetch-contents.com/18/02/33/55/18023355_38159105_480.jpg
15,New Season,Prada,pointed-toe slingback pumps,"$1,100",See all sizes,https://cdn-images.farfetch-contents.com/17/82/73/94/17827394_37478834_480.jpg
16,New Season,Gucci,Gucci Tennis 1977 sneakers,$730,See all sizes,https://cdn-images.farfetch-contents.com/18/02/16/02/18021602_38151036_480.jpg
17,New Season,Chloé,Joy suede clogs,$875,See all sizes,https://cdn-images.farfetch-contents.com/17/36/28/63/17362863_38423283_480.jpg
18,New Season,Gucci,bamboo buckle heeled sandals,$980,See all sizes,https://cdn-images.farfetch-contents.com/18/02/25/97/18022597_38169899_480.jpg
19,New Season,Amina Muaddi,Lily crystal-embellished boots,"$3,301",See all sizes,https://cdn-images.farfetch-contents.com/17/29/23/81/17292381_38051064_480.jpg
20,New Season,Gucci,Ace lace-up sneakers,$750,See all sizes,https://cdn-images.farfetch-contents.com/17/94/39/65/17943965_38011432_480.jpg
21,New Season,Amina Muaddi,Julia stud-embellished 95mm sandals,"$1,425",See all sizes,https://cdn-images.farfetch-contents.com/17/29/30/99/17293099_38048369_480.jpg
22,New Season,Chloé,Kayla crochet striped loafers,$950,See all sizes,https://cdn-images.farfetch-contents.com/17/36/18/51/17361851_38060385_480.jpg
23,New Season,Jimmy Choo,x Mugler mesh detailed pumps,"$1,050",See all sizes,https://cdn-images.farfetch-contents.com/17/93/97/08/17939708_37848145_480.jpg
24,New Season,ATP Atelier,Lezza 75mm leather sandals,$395,See all sizes,https://cdn-images.farfetch-contents.com/17/59/48/43/17594843_38065899_480.jpg
25,New Season,Prada,Monolith pouch detail boots,"$1,990",See all sizes,https://cdn-images.farfetch-contents.com/17/80/05/83/17800583_37392118_480.jpg
26,Exclusive,Off-White,Vulcanized low-top sneakers,$330,See all sizes,https://cdn-images.farfetch-contents.com/17/59/04/51/17590451_37552392_480.jpg
27,New Season,Sophia Webster,Riva 120mm butterfly sandals,$775,See all sizes,https://cdn-images.farfetch-contents.com/17/59/14/67/17591467_38424701_480.jpg
28,New Season,Moon Boot,ProTECHt high-top rubber boots,$275,See all sizes,https://cdn-images.farfetch-contents.com/17/75/73/79/17757379_38043124_480.jpg
29,New Season,Valentino Garavani,Roman Stud 65mm leather mules,$920,See all sizes,https://cdn-images.farfetch-contents.com/17/78/22/73/17782273_37445844_480.jpg
30,New Season,Jimmy Choo,x Mugler 110mm pumps,"$1,175",See all sizes,https://cdn-images.farfetch-contents.com/17/94/08/84/17940884_37848191_480.jpg
31,New Season,Burberry,pointed leather drawcord boots,"$1,290",See all sizes,https://cdn-images.farfetch-contents.com/17/87/09/54/17870954_37848486_480.jpg
32,New Season,Piferi,Miranda 125mm sandals,$804,See all sizes,https://cdn-images.farfetch-contents.com/17/03/83/62/17038362_38054816_480.jpg
33,New Season,Philipp Plein,open-toe sandals,"$1,075",See all sizes,https://cdn-images.farfetch-contents.com/17/35/38/02/17353802_36827383_480.jpg
34,New Season,Alexander McQueen,Scuba zip-up boots,"$1,090",See all sizes,https://cdn-images.farfetch-contents.com/17/33/09/45/17330945_38423973_480.jpg
35,New Season,Balenciaga,Runner lace-up sneakers,"$1,150",See all sizes,https://cdn-images.farfetch-contents.com/17/33/68/23/17336823_36996601_480.jpg
36,,Givenchy,G Cube 85mm sandals,"$1,250",See all sizes,https://cdn-images.farfetch-contents.com/17/33/07/22/17330722_38423047_480.jpg
37,New Season,Salvatore Ferragamo,F-Heel mules,$795,See all sizes,https://cdn-images.farfetch-contents.com/17/36/42/15/17364215_37867315_480.jpg
38,New Season,Nicholas Kirkwood,Lexi braided 90mm sandals,$775,See all sizes,https://cdn-images.farfetch-contents.com/17/57/17/31/17571731_37992971_480.jpg
39,New Season,Amina Muaddi,Giorgia 95mm crocodile-embossed boots,"$1,335",See all sizes,https://cdn-images.farfetch-contents.com/17/29/31/39/17293139_37925474_480.jpg
40,,Balenciaga,X-Pander sneakers,"$1,290",See all sizes,https://cdn-images.farfetch-contents.com/17/70/17/44/17701744_38086815_480.jpg
41,New Season,Paris Texas,Malena platform sandals,$562,See all sizes,https://cdn-images.farfetch-contents.com/17/94/28/52/17942852_37865327_480.jpg
42,,Manolo Blahnik,MANOLO GALAXI HH PMP MLE STR DTL STN,"$1,246",See all sizes,https://cdn-images.farfetch-contents.com/16/54/44/33/16544433_37947740_480.jpg
43,New Season,Bottega Veneta,Flash platform sandals,$990,See all sizes,https://cdn-images.farfetch-contents.com/17/75/24/01/17752401_38170954_480.jpg
44,New Season,Paris Texas,Anja 100mm zebra print mules,$465,See all sizes,https://cdn-images.farfetch-contents.com/17/10/12/67/17101267_37818820_480.jpg
45,New Season,Gucci,Angelina 55mm platform sandals,$670,See all sizes,https://cdn-images.farfetch-contents.com/17/69/54/63/17695463_37005801_480.jpg
46,New Season,Valentino Garavani,Rockstud flat mules,$820,See all sizes,https://cdn-images.farfetch-contents.com/17/78/20/84/17782084_37452842_480.jpg
47,New Season,Balenciaga,heart-print Mallorca sandals,$695,See all sizes,https://cdn-images.farfetch-contents.com/17/33/46/13/17334613_37397090_480.jpg
48,New Season,Aquazzura,Celeste 105mm crystal-embellished sandals,"$1,250",See all sizes,https://cdn-images.farfetch-contents.com/17/29/91/48/17299148_36811442_480.jpg
49,New Season,Versace,buckled platform sandals,"$1,425",See all sizes,https://cdn-images.farfetch-contents.com/17/33/39/06/17333906_37849756_480.jpg
50,New Season,Versace,rhinestone-embellished satin mules,"$1,025",See all sizes,https://cdn-images.farfetch-contents.com/17/86/32/33/17863233_37739105_480.jpg
51,New Season,Gucci,GG jacquard platform slides,$670,See all sizes,https://cdn-images.farfetch-contents.com/18/02/26/17/18022617_38162422_480.jpg
52,New Season,Balenciaga,Track mule sneakers,"$1,050",See all sizes,https://cdn-images.farfetch-contents.com/17/72/98/19/17729819_37830649_480.jpg
53,New Season,Versace,chain-embellished platform slides,$775,See all sizes,https://cdn-images.farfetch-contents.com/17/33/29/67/17332967_37851812_480.jpg
54,New Season,Amina Muaddi,Heidi shearling-lined leather boots,"$1,055",See all sizes,https://cdn-images.farfetch-contents.com/17/29/23/78/17292378_37884433_480.jpg
55,New Season,Amina Muaddi,Lily crystal-fringe mid-calf boots,"$3,250",See all sizes,https://cdn-images.farfetch-contents.com/17/83/11/52/17831152_37890489_480.jpg
56,New Season,Valentino Garavani,Rockstud 10mm leather pumps,"$1,070",See all sizes,https://cdn-images.farfetch-contents.com/17/78/19/79/17781979_38093196_480.jpg
57,New Season,Stella McCartney,Emilie military boots,"$1,009",See all sizes,https://cdn-images.farfetch-contents.com/17/94/71/26/17947126_37889214_480.jpg
58,New Season,Bottega Veneta,80mm mesh-detail wedge sandals,$890,See all sizes,https://cdn-images.farfetch-contents.com/18/07/93/98/18079398_38270449_480.jpg
59,,Saint Laurent,Jodie 95mm platform sandals,$995,See all sizes,https://cdn-images.farfetch-contents.com/16/63/46/84/16634684_36032503_480.jpg
60,New Season,TOM FORD,padlock detail ballerina shoes,$990,See all sizes,https://cdn-images.farfetch-contents.com/17/17/33/23/17173323_38418669_480.jpg
61,New Season,Aquazzura,Sundance Plateau 140mm platform sandals,$895,See all sizes,https://cdn-images.farfetch-contents.com/17/76/54/05/17765405_37268471_480.jpg
